,module_0,module_1,module_2,module_3,module_4,module_5,module_6,module_7,module_8,module_9,module_10,module_11,module_12,module_13,module_14,module_15,module_16,module_17,module_18,module_19,module_20,module_21,module_22,module_23,module_24,module_25,module_26,module_27,module_28,module_29,module_30,module_31,module_32,module_33,module_34,module_35,module_36,module_37,module_38,module_39,module_40,module_41,module_42,module_43,module_44,module_45,module_46,module_47,module_48,module_49,module_50,module_51,module_52,module_53,module_54,module_55,module_56,module_57,module_58,module_59,module_60,module_61,module_62,module_63,module_64,module_65,module_66,module_67,module_68,module_69,module_70,module_71,module_72,module_73,module_74,module_75,module_76,module_77,module_78,module_79,module_80,module_81,module_82,module_83,module_84,module_85,module_86,module_87,module_88,module_89,module_90,module_91,module_92,module_93,module_94,module_95,module_96,module_97,module_98,module_99,module_100,module_101,module_102,module_103,module_104,module_105,module_106,module_107,module_108,module_109,module_110,module_111,module_112,module_113,module_114,module_115,module_116,module_117,module_118,module_119,module_120,module_121,module_122,module_123,module_124,module_125,module_126,module_127,module_128,module_129,module_130,module_131,module_132,module_133,module_134,module_135,module_136,module_137,module_138,module_139,module_140,module_141,module_142,module_143,module_144,module_145,module_146,module_147,module_148,module_149,module_150,module_151,module_152,module_153,module_154,module_155,module_156,module_157,module_158,module_159,module_160,module_161,module_162,module_163,module_164,module_165,module_166,module_167,module_168,module_169,module_170,module_171,module_172,module_173,module_174,module_175,module_176,module_177,module_178,module_179,module_180,module_181,module_182,module_183,module_184,module_185,module_186,module_187,module_188,module_189,module_190,module_191,module_192,module_193,module_194,module_195,module_196,module_197,module_198,module_199,module_200,module_201,module_202,module_203,module_204,module_205,module_206,module_207,module_208,module_209,module_210,module_211,module_212,module_213,module_214,module_215,module_216
51,SEC61A1,FBLN1,RBM12B-AS1,GUCA1B,TESPA1,KLK7,CD24,GSDME,AASDHPPT,MTHFD2L,KCTD7,RHD,,,,,TRGV3,,,,,,,CNNM4,,HS3ST1,,,,,KRTAP1-3,,,,DRG1,DFFA,,HCG18,RPAP2,PPFIBP1,OARD1,ACOT1,NFIA,,SLC25A37,,,,FCHSD2,,,THSD4,,,,,ALDOAP2,JPH3,,,,,,,,ZNF550,,LSM2,SPATS2,EPB41,,,MRPL11,,,BUB1,,KCND2,,,,,,,,,,NPTX2,,,RABL3,,,GAGE1,,SDHA,,,,UFM1,PFKL,,TMEM115,ETFB,,UROS,,,,AFG3L2,,ANKRD40CL,,,,,,,SPART,PEF1,,,,,TFDP3,,,,MVP,PLEK,FGL2,,,OPA1,KCTD12,,PLTP,,,,,,,,,,,,,,,,SRA1,,CLDN8,,,HYI,RAB40C,,,,,,,,,,,IQSEC2,,RALBP1,,,FANCA,,,,,,,,,IPO9,,,,,,,,,,,,,,BCL11A,FCN1,ADAM12,,,,,,,,,,,,,,,,,
52,PDCD1LG2,SULT1A4,SSX1,DRD5,MAG,SNAPC3,STEAP1B,HNRNPA1P31,PPP1R12A,KCNK5,NOTCH1,FKBP9,,,,,NDP,,,,,,,TOMM7,,KATNB1,,,,,BRD1,,,,B3GALNT1,STRADA,,SEC14L1P1,PROX1,TTLL5,DNMT3B,ICE1,VTI1B,,MCCC1,,,,CHI3L1,,,DIPK1A,,,,,PPP3CA,GLS2,,,,,,,,DMTN,,TMEM41B,ODC1,KLF9,,,DDX24,,,AUNIP,,,,,,,,,,,,DCAF8,,,HIST1H4C,,,CYP4F12,,BMPR1B,,,,HNRNPK,RIN2,,SYF2,XRCC1,,DCTN3,,,,POM121C,,ARF5,,,,,,,CLK2,NELFCD,,,,,WDYHV1,,,,RNF8,C1QA,IRAK3,,,ANPEP,RGS1,,TLR8,,,,,,,,,,,,,,,,RNF185-AS1,,MAU2,,,PLA2G6,TLE1,,,,,,,,,,,GSTT1,,HMMR,,,BORA,,,,,,,,,POLE,,,,,,,,,,,,,,PARP2,SP140L,AQP9,,,,,,,,,,,,,,,,,
53,MYO9B,AQP2,TAAR3P,DLC1,FRMD4B,RAB14,PHLPP1,MAP4,HPX,KATNBL1,AEBP1,MECOM,,,,,DES,,,,,,,ATP2B4,,ZXDB,,,,,USP32P2,,,,XRCC6,DCAF6,,ZNF271P,SMAD5,KIF3B,NR1H3,BPTFP1,GON4L,,FLNA,,,,SCG2,,,ARNTL2,,,,,SLC12A8,MMP24,,,,,,,,PLA1A,,PPP1R14BP3,SLC50A1,H2AFX,,,EIF2B3,,,GNG4,,,,,,,,,,,,VCAN,,,SUMO4,,,CFAP298,,TEFM,,,,ANKRD27,UBXN6,,LYZL6,TST,,HMOX2,,,,MRPL28,,RCC1L,,,,,,,ATAD3A,FOXE3,,,,,EIF2S2,,,,PLK3,TNFRSF11A,FKBP5,,,PTH2R,CLEC4A,,SLC9A3,,,,,,,,,,,,,,,,PIM2,,TACR1,,,PLXNB1,CNTF,,,,,,,,,,,SERINC3,,SHCBP1,,,AURKA,,,,,,,,,CNOT1,,,,,,,,,,,,,,PITX2,STBD1,TCIM,,,,,,,,,,,,,,,,,
54,MMP2,SEMA6D,SOX13,GK2,OMG,XPO4,MKRN2,NUP62CL,PTP4A3,SUMO2,TMEM59,COL4A1,,,,,IRS2,,,,,,,MGST3,,FZR1,,,,,ZNF767P,,,,SLC35A3,SEC24B,,ALDH3A1,PRKG2,ABCA7,LARS,MFSD9,GMEB2,,HIST1H2AB,,,,CXCL14,,,ADCY8,,,,,NELL1,,,,,,,,,CPNE6,,TRAPPC2,TGS1,ADAM17,,,STARD13,,,DCAF13,,,,,,,,,,,,TP53TG1,,,DDR2,,,SERPINI2,,,,,,DDX41,UTP25,,LAG3,ERF,,HPCAL1,,,,RBM28,,GNB2,,,,,,,AURKAIP1,,,,,,SUOX,,,,IL13RA1,LAPTM5,CREG1,,,RAB3B,TFEC,,AKAP7,,,,,,,,,,,,,,,,ARHGEF38,,GCKR,,,MADCAM1,SPATA31A1,,,,,,,,,,,ZMYM1,,SRP72,,,STIL,,,,,,,,,KRT8P17,,,,,,,,,,,,,,ALDH1A3,FCGBP,NNMT,,,,,,,,,,,,,,,,,
55,RBMY1HP,IFT57,PRSS16,RAX,EPB41L3,GALK2,SP100,ZC3H15,N4BP1,RPS4XP2,FRMPD1,SAP30L,,,,,ALDH1L1,,,,,,,,,CASKIN2,,,,,PAQR4,,,,PES1,PLA2G2E,,ZNF611,MAPKBP1,KRT19P2,PIBF1,ASB7,ZDHHC11B,,FAM3A,,,,SAP130,,,AKAP11,,,,,CHRM3,,,,,,,,,CDH12,,FOXE1,RPS6KA6,PSMD4,,,RNF114,,,EXO1,,,,,,,,,,,,SLC9A6,,,STK10,,,C9orf116,,,,,,VPS52,TPD52L2,,ARAF,ERG28,,ATP6V0D1,,,,PILRB,,,,,,,,,C20orf27,,,,,,PRKAA1,,,,S100A11,CASP5,ARID3A,,,SLC35D2,CCDC28A,,HLA-DRB5,,,,,,,,,,,,,,,,PPP2R5D,,TCL1A,,,TOM1L2,FRAS1,,,,,,,,,,,TOE1,,ACAT2,,,TIAM1,,,,,,,,,PCNT,,,,,,,,,,,,,,ASAP1,,ST3GAL1,,,,,,,,,,,,,,,,,
56,NAGLU,ZRSR2,ASCL2,GMDS,MINDY1,OSGEPL1,AGAP1,KCTD13,SSR4,SYVN1,LRIF1,MAGOH2P,,,,,PBXIP1,,,,,,,,,MED24,,,,,EPS15L1,,,,MCAT,PSTPIP1,,EXOC6B,SF3B1,DAPK2,SRSF6,TEAD1,SCAF4,,PRDM1,,,,C3orf52,,,SLC24A3,,,,,FAM49A,,,,,,,,,MATK,,NOC4L,,DDO,,,POLR2G,,,MXD3,,,,,,,,,,,,NIPSNAP2,,,RABIF,,,SCGB2A1,,,,,,P3H3,,,P2RX4,VPS13C,,STOML2,,,,PLCG1,,,,,,,,,ZBTB48,,,,,,REX1BD,,,,FLVCR2,ZNF749,GZMK,,,CCDC102B,MNDA,,PILRA,,,,,,,,,,,,,,,,CSPG4P2Y,,B3GNT4,,,VIPR1,ATXN7L3B,,,,,,,,,,,MAD2L1,,ZNF273,,,PRUNE2,,,,,,,,,SF1,,,,,,,,,,,,,,TES,,TACC2,,,,,,,,,,,,,,,,,
57,CLBA1,EBNA1BP2,SNTG2,ADGRG6,HDAC11,SNORC,MEIS1,SUPT6H,PDZK1IP1,TOR1A,PLXNA2,ADGRA2,,,,,LARS2,,,,,,,,,RGR,,,,,RANBP10,,,,MMP10,PGRMC2,,PODNL1,PBRM1,PGF,FGFR1OP,KLHL24,,,BEX3,,,,RAB33B,,,TAB2,,,,,ACTR3B,,,,,,,,,AMPH,,,,ZNF668,,,,,,CDCA3,,,,,,,,,,,,ATP5MF,,,MEF2B,,,FOLR1,,,,,,PNLIPRP1,,,UBE2V1,SIX1,,,,,,NFATC3,,,,,,,,,RANBP17,,,,,,NNT,,,,NRP2,JAK2,SQOR,,,MRC1,TM6SF1,,CYP21A2,,,,,,,,,,,,,,,,CD209,,SOX21,,,SMUG1,GRIP2,,,,,,,,,,,NOP56,,SMC4,,,POLE2,,,,,,,,,TTC31,,,,,,,,,,,,,,COQ7,,FTH1P5,,,,,,,,,,,,,,,,,
58,KLHL26,PVT1,CRYGB,MAP3K19,TFPI,TMEM255A,EIF4ENIF1,MRE11,ARHGAP5,ISCA1,SERBP1,SLITRK5,,,,,ABCA8,,,,,,,,,APTX,,,,,PPP1R2,,,,ACO2,RAP1A,,GSC2,BMPR2,RPS2P45,TRA2A,TNPO1,,,LAMA5,,,,OR7E2P,,,FRY,,,,,ANXA2P1,,,,,,,,,CABP1,,,,DENND4A,,,,,,KIF2C,,,,,,,,,,,,MYC,,,TXNL4A,,,SMPD2,,,,,,PCDHGA9,,,PTK7,POLR2C,,,,,,ZNF500,,,,,,,,,NECTIN3,,,,,,PCNX2,,,,GALNT2,GRB2,STAG1,,,F13A1,TPK1,,MXRA8,,,,,,,,,,,,,,,,CACNA1H,,SPATA6L,,,ETS1,NMUR1,,,,,,,,,,,YRDC,,,,,CDCA8,,,,,,,,,,,,,,,,,,,,,,,AGA,,BCL2A1,,,,,,,,,,,,,,,,,
59,ALOX12P2,NUP37,FBXO40,TNFRSF8,PRKCZ,ADAM10,MSL3,SCRN1,TMEM109,RPS11,CA3,TMX4,,,,,BBOX1,,,,,,,,,PTP4A2,,,,,PRRC2A,,,,UBE2L3,LILRP2,,ZNF551,LINC00461,SLAMF7,SREK1,ANKHD1,,,SBNO2,,,,GABRR1,,,BIVM-ERCC5,,,,,KCNK12,,,,,,,,,TNNT1,,,,STMN1,,,,,,,,,,,,,,,,,,PSPHP1,,,RMND1,,,RSPH14,,,,,,PMM1,,,WDR45,CYTH2,,,,,,SMPD4,,,,,,,,,NOC2L,,,,,,ASAP3,,,,PIGT,PYCARD,PIK3CG,,,S100A3,GMFG,,PTGS1,,,,,,,,,,,,,,,,SMARCA1,,IKZF1,,,,GUCY2D,,,,,,,,,,,FKBP2,,,,,BRIP1,,,,,,,,,,,,,,,,,,,,,,,ZC4H2,,S100A8,,,,,,,,,,,,,,,,,
60,ARRB2,NDUFS4,CD27,TPT1P8,UGT8,ALDH1B1,CASP1,CDIP1,RNF38,SMARCA2,IFT81,SOX15,,,,,PON2,,,,,,,,,GHRH,,,,,LPA,,,,DHRS1,MYCT1,,DDR1-DT,STRN,COLQ,MORC2,NIPBL,,,ITPR3,,,,CYP3A7,,,CDC42EP3,,,,,CAP2,,,,,,,,,NEFM,,,,TUBB4B,,,,,,,,,,,,,,,,,,,,,EFCAB14,,,CFAP45,,,,,,PEX16,,,CBFA2T2,EXOSC5,,,,,,ALMS1,,,,,,,,,,,,,,,HSPE1-MOB4,,,,REL,APOBR,TRAC,,,LILRB2,STOM,,PCDHA6,,,,,,,,,,,,,,,,HNF1A,,GRIN2B,,,,ACVR2B,,,,,,,,,,,SPOCK2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NR2F2,,,,,,,,,,,,,,,,,
61,PLXNB2,TRPC4,ADH1A,MS4A2,SERPINI1,PIP5K1A,HOXA10,LASP1,CRELD2,FAM32A,HPF1,CKAP4,,,,,PDZD2,,,,,,,,,BAG1,,,,,TRPV4,,,,TBK1,NUDT9,,HIST1H4I,MEAK7,ALDH3B2,RSRP1,DROSHA,,,ARG1,,,,ABCA5,,,,,,,,KCNJ6,,,,,,,,,VIP,,,,ACVR2A,,,,,,,,,,,,,,,,,,,,,,,,FBXL7,,,,,,MED4,,,PMPCB,ARFGEF2,,,,,,AGK,,,,,,,,,,,,,,,FEM1B,,,,TRIM37,RPS6KA1,VNN2,,,COL9A3,GMIP,,RAMP3,,,,,,,,,,,,,,,,CNR2,,SPRYD7,,,,TRIM31,,,,,,,,,,,C2CD2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTX3,,,,,,,,,,,,,,,,,
62,ARFRP1,LIN7C,CFHR2,INSRR,GPR17,TUBGCP4,TNFAIP6,UTP6,RALY,CLOCK,ZMPSTE24,GPR4,,,,,,,,,,,,,,GFOD2,,,,,DMPK,,,,HHAT,CLPB,,MUC13,DDI2,ITFG1,VPS16,ICAM4,,,,,,,AOC3,,,,,,,,UPK2,,,,,,,,,MAST3,,,,PLCXD1,,,,,,,,,,,,,,,,,,,,,,,,IFT22,,,,,,STX18,,,CDKL3,PRPF31,,,,,,ZXDC,,,,,,,,,,,,,,,FASTKD2,,,,CLDN7,CD300A,ACSL1,,,RARRES1,AIF1,,HLA-DRB6,,,,,,,,,,,,,,,,GPATCH3,,ADRA2B,,,,CDC5L,,,,,,,,,,,VRK1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAMPTP1,,,,,,,,,,,,,,,,,
63,TIA1,MRPS14,TSSK1B,SLC28A3,PIP4K2A,METTL16,SORCS3,LYPD1,SLC52A2,RPL14,TDG,FLT1,,,,,,,,,,,,,,PSPN,,,,,MZF1,,,,,GRSF1,,ATP8B1,NHLRC2,SSTR3,PNISR,PFDN1,,,,,,,USP46,,,,,,,,NECAB2,,,,,,,,,,,,,RNF187,,,,,,,,,,,,,,,,,,,,,,,,CFAP44,,,,,,RLN3,,,ADM2,NKX6-1,,,,,,MAEA,,,,,,,,,,,,,,,NDUFAF4,,,,MYL6B,FOLR2,CEP131,,,ADAM22,ITM2B,,CTSH,,,,,,,,,,,,,,,,PTCH2,,TAS2R14,,,,DNAJC7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABHD10,,,,,,,,,,,,,,,,,
64,PSKH1,PRDX3,SPTA1,FGF3,PLPP2,ARNT,CDH3,GRAMD4,ITFG2,RPL28,BAHCC1,HSPG2,,,,,,,,,,,,,,MUC16,,,,,NRBF2,,,,,ACTC1,,MBTD1,COX6CP1,CCR7,FMC1-LUC7L2,KRT20,,,,,,,ANKRD26,,,,,,,,FOXO4,,,,,,,,,,,,,ERBIN,,,,,,,,,,,,,,,,,,,,,,,,CCDC81,,,,,,TSPYL2,,,WIPI2,TBCB,,,,,,PASK,,,,,,,,,,,,,,,,,,,MYOF,LGMN,NPC2,,,ITPRID2,OGFRL1,,ARHGAP15,,,,,,,,,,,,,,,,IL37,,TSPY11P,,,,SMG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADAMTS1,,,,,,,,,,,,,,,,,
65,DKK3,DCTN6,SLIT3,CEACAM3,SOX10,ARMCX7P,ROR2,HSPD1,TOMM34,RPS24,EHHADH,EDN1,,,,,,,,,,,,,,ARF6,,,,,,,,,,SGF29,,CCDC134,TTBK2,INSL5,ZMYM2,PCYOX1,,,,,,,ATF6B,,,,,,,,LDB2,,,,,,,,,,,,,IP6K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAPK12,,,BAK1,,,,,,,ZNF3,,,,,,,,,,,,,,,,,,,STX4,ABCG1,CBX5,,,CABYR,CREBL2,,KCNN4,,,,,,,,,,,,,,,,YIF1B,,MAGEC3,,,,CYP7B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAMPT,,,,,,,,,,,,,,,,,
66,BMP1,PTPN7,UCP1,BMP10,MAP7,SCARB2,HIST1H2AG,ACSF2,CDC14A,RPS26P28,PAPOLA,PLVAP,,,,,,,,,,,,,,LRP8,,,,,,,,,,AMD1,,RFPL1,RNU6-125P,FOXD1-AS1,CDC42SE1,EIF5B,,,,,,,PDPN,,,,,,,,DDN,,,,,,,,,,,,,SLC35B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRIM16L,,,TBXA2R,,,,,,,TUBA3C,,,,,,,,,,,,,,,,,,,,APOC4-APOC2,LIMS1,,,KYNU,CSF2RB,,APOL6,,,,,,,,,,,,,,,,MEP1A,,LCT,,,,EPS8L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WIPI1,,,,,,,,,,,,,,,,,
67,FARS2,KRCC1,TREH,SP3P,ST18,TCTN2,GPR137B,CFAP46,CROCC,SUMO2P3,MST1L,PCOLCE2,,,,,,,,,,,,,,PTCD1,,,,,,,,,,,,GTF2H3,PCDHGA8,TCF7,ELAC1,PTPN1,,,,,,,ME1,,,,,,,,ATP2B3,,,,,,,,,,,,,ZFPL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TMPRSS5,,,AHI1,,,,,,,DTX2P1-UPK3BP1-PMS2P11,,,,,,,,,,,,,,,,,,,,TBX3,SERPINB1,,,TMEM184C,CYBB,,RAB4A,,,,,,,,,,,,,,,,CD96,,GNAT3,,,,FICD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLC39A8,,,,,,,,,,,,,,,,,
68,VAT1,ZFAND1,PMEL,NR1I3,CLMN,GDAP1,NCK2,ASIC1,RNF34,RPS3AP5,HSPA4,LRRC1,,,,,,,,,,,,,,FAM174B,,,,,,,,,,,,SPO11,TCAF1,DEFB4B,FUBP3,,,,,,,,SLC20A1,,,,,,,,CACNG3,,,,,,,,,,,,,ERLIN1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APOC3,,,PSEN1,,,,,,,,,,,,,,,,,,,,,,,,,,,CORO1A,MPV17,,,FCGR2B,FCGR1A,,ALOX5,,,,,,,,,,,,,,,,CALCA,,SERPINB10,,,,ROPN1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCL7,,,,,,,,,,,,,,,,,
69,HAND2-AS1,CRBN,CEACAM6,CHRNA6,AKAP17A,SFXN1,KCNJ1,TIMM22,MAN1B1,MED27,SDHD,NGFR,,,,,,,,,,,,,,CHMP7,,,,,,,,,,,,COQ8B,ZNF37BP,GCSHP5,SFPQ,,,,,,,,,,,,,,,,BDNF,,,,,,,,,,,,,BHLHE41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GMPPB,,,RAB3D,,,,,,,,,,,,,,,,,,,,,,,,,,,MSR1,TTC3,,,VCL,GIMAP6,,HLA-DRB4,,,,,,,,,,,,,,,,HOXC11,,PTCH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRICKLE3,,,,,,,,,,,,,,,,,
70,PFDN4,CMPK1,CHAD,DSC3,MAP6D1,GRID2,MX2,AGFG2,COQ6,RPS29,ENTPD4,LZTS1,,,,,,,,,,,,,,RGS12,,,,,,,,,,,,DCLRE1C,LRRFIP2,MYO1C,DLEU2L,,,,,,,,,,,,,,,,SCN2B,,,,,,,,,,,,,RCE1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SH3BGRL3,,,F10,,,,,,,,,,,,,,,,,,,,,,,,,,,SIGLEC9,ADGRE2,,,RAD21L1,PTPRC,,TRANK1,,,,,,,,,,,,,,,,,,REG3A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KIZ,,,,,,,,,,,,,,,,,
71,SMG7,UBE2V2,CSRP3,KRT2,TMEM144,GTF3C4,HIST1H4H,FOXF1,LZTS3,UGT2B4,CNPY2,TAF7L,,,,,,,,,,,,,,WWP2,,,,,,,,,,,,DCAF4,DOP1A,SLC52A1,HEATR6,,,,,,,,,,,,,,,,PTPRM,,,,,,,,,,,,,RBM14-RBM4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RIC3,,,STIMATE-MUSTN1,,,,,,,,,,,,,,,,,,,,,,,,,,,CD14,MGAT4A,,,SDCBP,ADAMTSL4-AS1,,HLA-DRB1,,,,,,,,,,,,,,,,,,TAS2R9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST7L,,,,,,,,,,,,,,,,,
72,HLCS,RAD21,RSPH6A,PIGL,HAPLN2,TRIM23,GADD45A,CST2,PDK1,RPL29,CX3CL1,COG2,,,,,,,,,,,,,,RIPOR1,,,,,,,,,,,,FLCN,UBAP2,MAP1LC3B,FBP2,,,,,,,,,,,,,,,,GPR22,,,,,,,,,,,,,BMP2K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTF1,,,THSD7A,,,,,,,,,,,,,,,,,,,,,,,,,,,ITGAL,CTSS,,,LYZ,TNFSF4,,NCF1,,,,,,,,,,,,,,,,,,ADAMTSL4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HSPA6,,,,,,,,,,,,,,,,,
73,VWA1,PEX2,MMP27,RHBG,PAQR6,CPT1A,IFI44L,PEPD,GOLGA2,RPS3AP47,PPA2,NUDC,,,,,,,,,,,,,,KCNE1B,,,,,,,,,,,,TRPA1,PCP4,CRYBG2,EFCAB2,,,,,,,,,,,,,,,,NEFH,,,,,,,,,,,,,USP39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZNF208,,,FNTB,,,,,,,,,,,,,,,,,,,,,,,,,,,TSC22D3,MAFB,,,CCDC28B,MAF,,,,,,,,,,,,,,,,,,,,ABCG5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLRX,,,,,,,,,,,,,,,,,
74,PPY2P,TCEAL1,SOAT2,NDST3,NINJ2,CAMSAP1,IFI6,COL9A2,RAB22A,RPS19,FZD8,CDKL2,,,,,,,,,,,,,,DUSP14,,,,,,,,,,,,CIAO1,MAML1,,RHOA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LGALS7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IFIT1,,,ITGA9,,,,,,,,,,,,,,,,,,,,,,,,,,,SGK1,KDM5B,,,NINL,ITGAM,,,,,,,,,,,,,,,,,,,,ADIPOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S100A9,,,,,,,,,,,,,,,,,
75,VPREB3,LSM1,ZNF467,OR52A1,CDK18,PRKCZ-AS1,HOXA9,TSC22D4,ATP6V0B,SPECC1L-ADORA2A,RAB9A,BICD1,,,,,,,,,,,,,,TBL3,,,,,,,,,,,,SULT1E1,LRRC61,,CLK4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITIH1,,,C17orf53,,,,,,,,,,,,,,,,,,,,,,,,,,,CR2,MYH10,,,ATP6V0E1,TRIM38,,,,,,,,,,,,,,,,,,,,HCN4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTNNBIP1,,,,,,,,,,,,,,,,,
76,INPP5D,MPC1,NLRP3,MSH4,TRIT1,ADAM15,HADHB,NAXD,PSMB10,RPL27AP,ABHD2,JAM3,,,,,,,,,,,,,,NCK1,,,,,,,,,,,,SLC4A8,NFIX,,MTF2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JPT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHPF,,,GM2A,,,,,,,,,,,,,,,,,,,,,,,,,,,REEP4,KLHL11,,,AHSG,RHOH,,,,,,,,,,,,,,,,,,,,BTN2A3P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIF,,,,,,,,,,,,,,,,,
77,ANKRD7,ZNF706,BMP3,ADAM20,CA10,MBTPS2,CASP7,RNGTT,RCC1,RPL39,TP53BP1,PLXDC1,,,,,,,,,,,,,,AFF3,,,,,,,,,,,,ZNF669,NKTR,,UPF3AP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KDM1A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPSF7,,,LINC00652,,,,,,,,,,,,,,,,,,,,,,,,,,,HMGCS1,IL4R,,,SLC9B2,ST6GAL1,,,,,,,,,,,,,,,,,,,,UTS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YBX3,,,,,,,,,,,,,,,,,
78,SEC24D,BCAS2,C5orf66,KCNIP2,CPEB1,ZBTB6,SPARCL1,RMND5A,LSP1,RPSAP20,MDN1,TMEM185B,,,,,,,,,,,,,,PCDHA2,,,,,,,,,,,,HIST1H3J,PHF20,,TGDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARL10,,,GDF3,,,,,,,,,,,,,,,,,,,,,,,,,,,ARHGAP4,KMO,,,,LTA4H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TGFBI,,,,,,,,,,,,,,,,,
79,MAGEH1,YWHAZ,NXF2,ADTRP,ZNF442,RGPD5,CAPRIN2,RND2,PAM16,PTPN21,TAS2R7,ANGPT2,,,,,,,,,,,,,,,,,,,,,,,,,,GTF2H2C,SPIN1,,PRR11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TKT,,,OXA1L,,,,,,,,,,,,,,,,,,,,,,,,,,,PSTPIP2,ITK,,,,SAMSN1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARHGAP29,,,,,,,,,,,,,,,,,
80,MCHR1,MRPL13,CD1A,SPIN2A,LDB3,SERPINB3,DHRS2,TRIM29,SLC1A5,MRPS35,ACKR1,RHCE,,,,,,,,,,,,,,,,,,,,,,,,,,RGSL1,CCRL2,,COPS8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DGKA,,,HS1BP3,,,,,,,,,,,,,,,,,,,,,,,,,,,CYBA,TLR1,,,,LY75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAGED4B,,,,,,,,,,,,,,,,,
81,TRIOBP,GTF2E1,SOX30,SHH,FGFR3,CCDC82,TRIB1,GPR162,DAP,EEF1B2P6,CLUH,EN1,,,,,,,,,,,,,,,,,,,,,,,,,,PLEKHS1,HDAC4,,PRPF38B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IVD,,,LTBP4,,,,,,,,,,,,,,,,,,,,,,,,,,,NUMB,GIPC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATF3,,,,,,,,,,,,,,,,,
82,SPACA9,PXN,POM121,GRM4,GSN,TSC22D2,RAB5A,MTX2,AKR1A1,RPL8,BLZF1,NID2,,,,,,,,,,,,,,,,,,,,,,,,,,DUX4L9,PARD3,,AHSA2P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDE4DIP,,,ACTBP9,,,,,,,,,,,,,,,,,,,,,,,,,,,THEMIS2,CBX1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FTH1P11,,,,,,,,,,,,,,,,,
